stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
      8201,75100     ,TLSBWD-  76              ,DAYTON AVE N & N GREENWOOD DR           ,                                        , 0, 0, 0,   47.746929, -122.353378
      8202,75110     ,TLSBWD-  76              ,DAYTON AVE N & N 160TH ST               ,                                        , 0, 1, 0,   47.744682, -122.353340
      8203,75120     ,TLSBWD-  76              ,DAYTON AVE N & N 155TH ST               ,                                        , 0, 1, 0,   47.741226, -122.353325
      8204,75130     ,TLSBWD-  76              ,DAYTON AVE N & 15300 BLOCK              ,                                        , 0, 1, 0,   47.739609, -122.353294
      8205,75140     ,TLSBWD-  76              ,DAYTON AVE N & N 150TH ST               ,                                        , 0, 1, 0,   47.737782, -122.353256
      8206,75141     ,TLSBWD-  76              ,N 172ND ST & FREMONT AVE N              ,                                        , 0, 1, 0,   47.754059, -122.351357
      8207,75142     ,TLSBWD-  76              ,N 172ND ST & DAYTON AVE N               ,                                        , 0, 1, 0,   47.754192, -122.352837
      8208,75143     ,TLSBWD-  76              ,FREMONT AVE N & N 170TH ST              ,                                        , 0, 1, 0,   47.752762, -122.350868
      8209,75144     ,TLSBWD-  76              ,FREMONT AVE N & N 167TH ST              ,                                        , 0, 1, 0,   47.750427, -122.350815
      8210,75145     ,TLSBWD-  76              ,FREMONT AVE N & N 167TH ST              ,                                        , 0, 1, 0,   47.750782, -122.351028
      8211,75150     ,TLSBWD-  76              ,WESTMINSTER WAY N & N 148TH ST          ,                                        , 0, 1, 0,   47.735661, -122.354706
      8212,75160     ,TLSBWD-  76              ,N 145TH ST & GREENWOOD AVE N            ,                                        , 0, 0, 0,   47.734062, -122.355156
      8213,75170     ,TLSBWD-  76              ,N 145TH ST & EVANSTON AVE N             ,                                        , 0, 0, 0,   47.734062, -122.351372
      8214,75180     ,TLSBWD-  76              ,N 145TH ST & LINDEN AVE N               ,                                        , 0, 0, 0,   47.734062, -122.347397
      8215,75190     ,TLSBWD-  76              ,N 145TH ST & AURORA AVE N               ,                                        , 0, 0, 0,   47.734062, -122.344704
      8216,75200     ,TLSBWD-  76              ,N 145TH ST & INTERLAKE AVE N            ,                                        , 0, 0, 0,   47.734062, -122.341095
      8217,75210     ,TLSBWD-  76              ,N 145TH ST & COURTLAND PL N             ,                                        , 0, 0, 0,   47.734062, -122.337738
      8218,75220     ,TLSBWD-  76              ,N 145TH ST & MERIDIAN AVE N             ,                                        , 0, 0, 0,   47.734062, -122.333954
      8219,75230     ,TLSBWD-  76              ,N 145TH ST & CORLISS AVE N              ,                                        , 0, 0, 0,   47.734043, -122.331223
      8220,75240     ,TLSBWD-  76              ,NE 145TH ST & 1ST AVE NE                ,                                        , 0, 0, 0,   47.734028, -122.328407
      8221,75246     ,TLSBWD-  76              ,94TH ST SW & PERIMETER RD               ,                                        , 0, 0, 0,   47.914295, -122.276649
      8222,75247     ,TLSBWD-  76              ,BOEING PARKING LO ACS & GATE E-69       ,                                        , 0, 0, 0,   47.917946, -122.275078
      8223,75248     ,TLSBWD-  76              ,BOEING ACCESS RD & GATE E-72            ,                                        , 0, 0, 0,   47.925705, -122.278793
      8224,75249     ,TLSBWD-  76              ,BOEING PERIMETER RD & UNNAMED           ,                                        , 0, 0, 0,   47.932365, -122.277550
      8225,75251     ,TLSBWD-  76              ,BOEING PERIMETER RD & GATE E-80         ,                                        , 0, 0, 0,   47.930817, -122.270081
      8226,75252     ,TLSBWD-  76              ,BOEING ACCESS RD & LOT N-8              ,                                        , 0, 0, 0,   47.931667, -122.265678
      8227,75253     ,TLSBWD-  76              ,BOEING ACCESS RD & GATE E-77            ,                                        , 0, 0, 0,   47.927555, -122.264862
      8228,75255     ,TLSBWD-  76              ,5TH AVE NE & NE 133RD ST                ,                                        , 0, 1, 0,   47.726082, -122.323654
      8229,75256     ,TLSBWD-  76              ,AIRPT RD & 100TH ST SW                  ,                                        , 0, 0, 0,   47.907448, -122.270943
