route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used
       202,100272    ,100272                   ,773                                     ,                                        ,West Seattle Water Taxi Shuttle         , 3, 1
       203,100294    ,100294                   ,909                                     ,                                        ,Highlands/Kennydale DART                , 3, 1
       204,100300    ,100300                   ,917                                     ,                                        ,Auburn/Algona/Pacific Shuttle           , 3, 1
       205,100472    ,100472                   ,919                                     ,                                        ,North and Southeast Auburn              , 3, 1
       206,100292    ,100292                   ,903                                     ,                                        ,Federal Way - S Twin Lakes 903          , 3, 1
       207,102512    ,102512                   ,910                                     ,                                        ,Supermall - North Auburn                , 3, 1
       208,100496    ,100496                   ,930                                     ,                                        ,Kingsgate/Redmond/Bear Crk Shuttle      , 3, 1
       209,102561    ,102561                   ,907                                     ,                                        ,Black Diamond-Maple Valley-Renton TC    , 3, 1
       210,102558    ,102558                   ,931                                     ,                                        ,Redmond/Woodinville                     , 3, 1
       211,102557    ,102557                   ,915                                     ,                                        ,Auburn/Enumclaw Shuttle - old           , 3, 1
       212,100297    ,100297                   ,914                                     ,                                        ,Kent Shopper Shuttle (DART)             , 3, 1
       213,100290    ,100290                   ,901                                     ,                                        ,Federal Way/Dash Point DART             , 3, 1
       214,100309    ,100309                   ,927                                     ,                                        ,Issaquah DART                           , 3, 1
       215,100313    ,100313                   ,935                                     ,                                        ,Kenmore/Finn Hill/Kingsgate P&R         , 3, 1
       216,100299    ,100299                   ,916                                     ,                                        ,Kent Shuttle (DART)                     , 3, 1
       217,102339    ,102339                   ,779                                     ,                                        ,Wheels to Water                         , 3, 0
       218,100284    ,100284                   ,888                                     ,                                        ,Interlake High School                   , 3, 0
       219,100344    ,100344                   ,986                                     ,                                        ,Lakeside School                         , 3, 0
       220,100343    ,100343                   ,984                                     ,                                        ,Lakeside School to Central Area         , 3, 0
       221,100287    ,100287                   ,891                                     ,                                        ,Mercer Island HS South Island           , 3, 0
       222,100288    ,100288                   ,892                                     ,                                        ,Mercer Island HS North Island           , 3, 0
       223,100346    ,100346                   ,988                                     ,                                        ,Lakeside School Custom Bus              , 3, 0
       224,100350    ,100350                   ,994                                     ,                                        ,Downtown/Magnolia/Ballard/Lakeside      , 3, 1
       225,100347    ,100347                   ,989                                     ,                                        ,Eastgate Lakeside                       , 3, 0
       226,102555    ,102555                   ,893                                     ,                                        ,911 For Lake Washington High School     , 3, 0
       227,100341    ,100341                   ,982                                     ,                                        ,Lakeside\UPrep Bear Creek PR            , 3, 0
       228,100345    ,100345                   ,987                                     ,                                        ,Lakeside School-Rainier Beach           , 3, 0
       229,100285    ,100285                   ,889                                     ,                                        ,Sammamish HS/International School       , 3, 0
       230,100342    ,100342                   ,983                                     ,                                        ,Issaquah Lakeside                       , 3, 0
       231,100351    ,100351                   ,995                                     ,                                        ,Laurelhurst-Lakeside-Evergreen Schools  , 3, 0
       232,102573    ,102573                   ,887                                     ,                                        ,Bellevue SD Newport BHS Int'l Sch       , 3, 0
       233,102549    ,102549                   ,980                                     ,                                        ,Lakeside                                , 3, 0
       234,100473    ,100473                   ,981                                     ,                                        ,Lakeside Activity Bus East              , 3, 0
       235,100340    ,100340                   ,98                                      ,                                        ,South Lake Union Streetcar              , 0, 1
       236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 1
       237,100479    ,100479                   ,LINK                                    ,                                        ,LINK to Sea-Tac                         , 0, 1
       238,100336    ,100336                   ,973                                     ,                                        ,West Seattle Water Taxi - Boat Schedule , 4, 1
       239,100337    ,100337                   ,975                                     ,                                        ,Vashon Passenger-Only Ferry             , 4, 0
       240,100512    ,100512                   ,A Line                                  ,                                        ,A-Line Rapid Ride                       , 3, 1
       241,102548    ,102548                   ,B Line                                  ,                                        ,B-Line Rapid Ride                       , 3, 1
       242,102581    ,102581                   ,674                                     ,                                        ,D-Line Rapid Ride                       , 3, 1
       243,102576    ,102576                   ,673                                     ,                                        ,C-Line Rapid Ride                       , 3, 1
       244,SNDR_S    ,SNDR_S                   ,Sounder / South                         ,Sounder / South                         ,Sounder South runs between Pierce County, 2, 1
       245,SNDR_N    ,SNDR_N                   ,Sounder / North                         ,Sounder / North                         ,Sounder North runs between Everett Stati, 2, 0
       246,AMTK      ,AMTK                     ,Amtrak                                  ,Amtrak                                  ,Amtrak service supplements Sounder North, 2, 0
       247,TLINK     ,TLINK                    ,Tacoma Link                             ,Tacoma Link                             ,Tacoma Link provides service through dow, 0, 1
       248,510N      ,510N                     ,510                                     ,Seattle - Everett                       ,Sound Transit Route                     , 3, 1
       249,510S      ,510S                     ,510                                     ,Everett - Seattle                       ,Sound Transit Route                     , 3, 1
       250,511N      ,511N                     ,511                                     ,Seattle - Ash Way                       ,Sound Transit Route                     , 3, 1
       251,511S      ,511S                     ,511                                     ,Ash Way - Seattle                       ,Sound Transit Route                     , 3, 1
       252,512N      ,512N                     ,512                                     ,Seattle - Everett                       ,Sound Transit Route                     , 3, 0
       253,512S      ,512S                     ,512                                     ,Everett - Seattle                       ,Sound Transit Route                     , 3, 0
       254,513N      ,513N                     ,513                                     ,Seattle - Everett                       ,Sound Transit Route                     , 3, 0
       255,513S      ,513S                     ,513                                     ,Everett - Seattle                       ,Sound Transit Route                     , 3, 1
       256,532N      ,532N                     ,532                                     ,Bellevue - Everett                      ,Sound Transit Route                     , 3, 1
       257,532S      ,532S                     ,532                                     ,Everett - Bellevue                      ,Sound Transit Route                     , 3, 1
       258,535N      ,535N                     ,535                                     ,Bellevue - Lynnwood                     ,Sound Transit Route                     , 3, 1
       259,535S      ,535S                     ,535                                     ,Lynnwood - Bellevue                     ,Sound Transit Route                     , 3, 1
