stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,geo_node_id,stop_code
386s0320,"103rd St & 76th Ave / Terry Dr",,41.7041483,-87.8077179,,13451,13451
386s0321,"103rd St & 75th Ave / Concord Ln",,41.704209,-87.8051081,,13452,13452
386s0322,"103rd St & 74th Ave",,41.7042416,-87.8034225,,13453,13453
386s0323,"103rd St & 73rd Ct",,41.7042703,-87.8015826,,13454,13454
386s0324,"103rd S & 73rd Ave",,41.7043093,-87.7999418,,13455,13455
386s0325,"103rd St & Harlem Ave",,41.7043443,-87.7984411,,13456,13456
386s0330,"Harlem Ave & 105th St",,41.7013041,-87.7979976,,13457,13457
386s0335,"Harlem Ave & Southwest Hwy",,41.6974503,-87.7978601,,13458,13458
386s0340,"Harlem Ave & 107th St",,41.6974361,-87.7978791,,13459,13459
386s0345,"Harlem Ave & 108th St",,41.6955853,-87.7977911,,13460,13460
386s0350,"Harlem Ave & 109th St",,41.6941264,-87.7977331,,13461,13461
386s0352,"Harlem Ave & 109th Pl",,41.6928043,-87.7976751,,37297,37297
386s0355,"Harlem Ave & 110th St",,41.6919403,-87.7976688,,13462,13462
386s0360,"Harlem Ave & 111th St",,41.6893103,-87.7975336,,13463,13463
386s0365,"Harlem Ave & 112th St",,41.6882361,-87.797513,,13464,13464
386s0370,"Harlem Ave & 113th St",,41.6864031,-87.7974321,,13465,13465
386s0375,"Harlem Ave & 114th St",,41.6847014,-87.7973761,,13466,13466
386s0380,"Harlem Ave & 115th St",,41.6829156,-87.7972963,,13467,13467
386s0385,"Harlem Ave & 116th St",,41.6809641,-87.7972151,,13468,13468
386s0390,"Harlem Ave & 119th St / College Dr",,41.6756493,-87.7969968,,13469,13469
386s0395,"Harlem Ave & 120th St",,41.673636,-87.7969176,,13470,13470
386s0400,"Harlem Ave & 121st St",,41.6718386,-87.7968563,,13471,13471
386s0405,"Harlem Ave & 122nd St",,41.6700716,-87.7967773,,13472,13472
386s0410,"Harlem Ave & 123rd St",,41.6682071,-87.7967006,,13473,13473
386s0415,"Harlem Ave & 124th St",,41.6664086,-87.7966363,,13474,13474
386s0420,"Harlem Ave & 125th St",,41.6645563,-87.7965573,,13475,13475
386s0425,"Harlem Ave & 126th St",,41.6627315,-87.7964868,,13476,13476
386s0430,"Harlem Ave & 127th St",,41.6609736,-87.7964048,,13477,13477
386s0435,"Harlem Ave & Ishnala Dr",,41.6581328,-87.7962931,,13478,13478
386s0440,"Harlem Ave & 130th St",,41.6555448,-87.7961843,,13479,13479
386s0445,"Harlem Ave & 131st St",,41.6536649,-87.7961183,,13480,13480
386s0510,"La Grange Rd & Southmoor Dr",,41.6491416,-87.8541093,,13494,13494
386s0515,"La Grange Rd & 135th St",,41.6451656,-87.8539246,,13495,13495
386s0517,"La Grange Rd & 142nd St",,41.6319438,-87.8540733,,33791,33791
386s0520,"La Grange Rd & 143rd St",,41.6295773,-87.8540181,,13496,13496
386s0522,"La Grange Rd & 144th Pl",,41.6273063,-87.8539963,,33792,33792
386s0525,"La Grange Rd & 147th St",,41.6228258,-87.8538498,,13498,13498
386s0530,"La Grange Rd & 149th St",,41.6190763,-87.8537105,,13499,13499
386s0532,"151st St & La Grange Rd",,41.6159018,-87.8525251,,33793,33793
386s0630,"Harlem Ave & 135th St",,41.6464491,-87.7958241,,33717,33717
386s0635,"Harlem Ave & 143rd St",,41.6318014,-87.7952975,,33718,33718
386s0640,"Harlem Ave & 151st St",,41.6172638,-87.7947538,,33719,33719
386s0645,"Harlem Ave & 152nd St",,41.6149136,-87.7946696,,33720,33720
386s0650,"Harlem Ave & 153rd St",,41.6131838,-87.7946196,,33721,33721
386s0655,"Harlem Ave & 154th St",,41.611202,-87.794551,,33722,33722
386s0660,"Harlem Ave & Wheeler Dr",,41.6089726,-87.7944805,,33723,33723
386s0665,"Harlem Ave & 156th St",,41.6073206,-87.7944633,,33724,33724
386s0670,"Harlem Ave & 157th St",,41.6061433,-87.7944626,,33725,33725
386s0675,"Harlem Ave & 158th St",,41.604295,-87.7944076,,33726,33726
386s0680,"Harlem Ave & 159th St",,41.6025371,-87.7943568,,33727,33727
386s0686,"West Creek Dr & 183rd St",,41.5577393,-87.7992808,,35472,35472
386s0687,"DeVry University (18624 W Creek Dr)",,41.5526835,-87.7990291,,35473,35473
387n0005,"Bridgeview Transit Center (depart)",,41.7633916,-87.8035876,,29225,29225
387s0005,"Bridgeview Transit Center (arrive)",,41.7634356,-87.803594,,29226,29226
